date,so2,no2,rspm,spm,aqi
2013-06-07,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-06-08,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-06-09,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-06-10,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-06-11,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-06-12,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-06-13,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-06-14,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-06-15,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-06-16,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-06-17,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-06-18,2.0,74.0,152.0,398.5591499628397,118.59586431160892
2013-06-19,2.0,86.0,159.0,398.5591499628397,120.60947687705395
2013-06-20,2.0,73.0,167.0,398.5591499628397,121.70790619642567
2013-06-21,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-06-22,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-06-23,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-06-24,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-06-25,2.0,53.0,101.0,398.5591499628397,106.91628315977646
2013-06-26,2.0,76.0,144.0,398.5591499628397,117.00214703412202
2013-06-27,2.0,70.0,176.0,398.5591499628397,123.46706850009059
2013-06-28,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-06-29,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-06-30,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-07-01,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-07-02,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-07-03,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-07-04,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-07-05,2.0,40.0,102.0,398.5591499628397,106.54141404982882
2013-07-06,2.0,40.0,98.0,398.5591499628397,105.6995292330749
2013-07-07,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-07-08,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-07-09,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-07-10,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-07-11,2.0,48.0,83.0,398.5591499628397,102.90267059433143
2013-07-12,3.0,49.0,63.0,398.5591499628397,98.74481719119007
2013-07-13,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-07-14,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-07-15,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-07-16,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-07-17,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-07-18,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-07-19,2.0,34.0,69.0,398.5591499628397,99.32570724354609
2013-07-20,2.0,64.0,75.0,398.5591499628397,101.93931980899112
2013-07-21,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-07-22,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-07-23,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-07-24,2.0,43.0,79.0,398.5591499628397,101.83565488752515
2013-07-25,3.0,43.0,50.0,398.5591499628397,95.73853446867699
2013-07-26,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-07-27,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-07-28,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-07-29,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-07-30,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-07-31,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-08-01,3.0,44.0,72.0,398.5591499628397,100.41392713883405
2013-08-02,3.0,38.0,76.0,398.5591499628397,100.98565488752514
2013-08-03,4.0,52.0,79.0,398.5591499628397,102.25397949485499
2013-08-04,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-08-05,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-08-06,2.0,100.0,66.0,398.5591499628397,101.66602137967175
2013-08-07,2.0,94.0,102.0,398.5591499628397,108.97282766239425
2013-08-08,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-08-09,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-08-10,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-08-11,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-08-12,2.0,70.0,65.0,398.5591499628397,100.10476483516914
2013-08-13,2.0,47.0,61.0,398.5591499628397,98.22727792417436
2013-08-14,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-08-15,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
